"Trump says not upset by North Korean launch of short-range missiles","Asia-articles-txt/articles66txt","27 Jul 2019 06:14AM","short-range ballistic missile,US,Donald Trump,United States,Kim Jong Un,technology & computing,World"
"Rich nations like Singapore should not use 'developing country' status to gain WTO special treatment: Trump","Asia-articles-txt/articles67txt","27 Jul 2019 05:08AM","WTO,Donald Trump,China,news and politics,Singapore,Business"
"Massive manhunt in Canadian wilderness for teen murder suspects","Asia-articles-txt/articles68txt","27 Jul 2019 03:34AM","British Columbia,Gillam,Bryer Schmegelsky,World"
"Sri Lanka says illegal UK waste offloaded to India, Dubai","Asia-articles-txt/articles69txt","26 Jul 2019 11:42PM","trash,environment,Sri Lanka,Asia"
"Indonesian volcano erupts near city of Bandung","Asia-articles-txt/articles70txt","26 Jul 2019 08:02PM","Indonesia,volcano,Asia"
"Rats a cheap street snack in Cambodia","Asia-articles-txt/articles71txt","15 Aug 2019 01:20PM","cambodia,rats,Asia"
"Indian PM Modi announces chief of defence staff post to improve military integration","Asia-articles-txt/articles72txt","15 Aug 2019 01:17PM","Narendra Modi,chief of defence,news and politics,India,Asia"
"Japan's emperor Naruhito speaks of 'deep remorse' on World War II anniversary","Asia-articles-txt/articles73txt","15 Aug 2019 12:28PM","Japan,emperor,Naruhito,World War Two,Asia"
"China says crew information submitted by Cathay Pacific meets requirements","Asia-articles-txt/articles74txt","15 Aug 2019 12:24PM","Hong Kong protests,Cathay Pacific,Asia"
"Skateboarders squeezed out in fight for Shanghai streets","Asia-articles-txt/articles75txt","15 Aug 2019 12:14PM","Shanghai,China,Asia"
"Crisis-hit Hong Kong: China's gateway to the world","Asia-articles-txt/articles76txt","15 Aug 2019 12:06PM","Hong Kong protests,China,Business"
"South Korea's Moon open to dialogue with Japan amid trade row","Asia-articles-txt/articles77txt","15 Aug 2019 11:50AM","Japan,South Korea,Asia"
"China asks for UN Security Council to discuss Kashmir this week: Diplomats","Asia-articles-txt/articles78txt","15 Aug 2019 11:02AM","Pakistan,Kashmir,Asia"
"Prosecutors seek sale of luxury homes linked to Malaysia's former PM Najib's stepson","Asia-articles-txt/articles79txt","15 Aug 2019 10:43AM","Malaysia,Najib Razak,1MDB,Asia"
"Japan PM Abe sends offering to Yasukuni shrine for war dead: Report","Asia-articles-txt/articles80txt","15 Aug 2019 10:26AM","Japan,Asia"
"Macau's casinos count cost of Hong Kong's escalating protests","Asia-articles-txt/articles81txt","08 Aug 2019 04:26PM","Hong Kong,China,Macau,Asia"
"Beijing tells US diplomats in Hong Kong to make 'clean break with anti-China rioters'","Asia-articles-txt/articles82txt","08 Aug 2019 04:26PM","Hong Kong,Hong Kong protests,China,Asia"
"Over 500 detained as Indian Kashmir seethes under lockdown","Asia-articles-txt/articles83txt","08 Aug 2019 03:25PM","Kashmir,India,Pakistan,Asia"
"'We are scared': Deadly dengue outbreak overwhelms Bangladesh","Asia-articles-txt/articles84txt","08 Aug 2019 01:50PM","Bangladesh,dengue,health,Asia"
"'We are scared': Deadly dengue outbreak overwhelms Bangladesh","Asia-articles-txt/articles85txt","08 Aug 2019 01:48PM","dengue,health,Bangladesh,Asia"
"'Rainbow wedding': Indian transgender couple marry in emotional ceremony","Asia-articles-txt/articles86txt","08 Aug 2019 12:57PM","LGBT,India,World"
"Underestimating China a 'catastrophic failure': Aussie intel chair","Asia-articles-txt/articles87txt","08 Aug 2019 12:30PM","China,Australia,World"
"Taiwan braces for typhoon hours after earthquake strikes","Asia-articles-txt/articles88txt","08 Aug 2019 12:01PM","China,Taiwan,weather,earthquake,typhoon,Asia"
"Papua New Guinea backtracks on China debt refinancing statement","Asia-articles-txt/articles89txt","08 Aug 2019 11:45AM","business and finance,James Marape,China,Papua New Guinea,Asia"
"Volcano near Tokyo erupts, prompting warnings","Asia-articles-txt/articles90txt","08 Aug 2019 11:32AM","Japan,volcano,eruption,disaster,Asia"
"Philippines mulls tourists for Thitu, bolstering South China Sea claims","Asia-articles-txt/articles91txt","23 Jul 2019 04:15PM","Philippines,China,Thitu,South China Sea,Asia"
"Moscow denies Russian aircraft violated South Korean airspace: Ministry","Asia-articles-txt/articles92txt","23 Jul 2019 04:13PM","Moscow,Russia,South Korea,World"
"China tells US to remove 'black hands' from Hong Kong","Asia-articles-txt/articles93txt","23 Jul 2019 03:52PM","China,Hong Kong,United States,Hong Kong protests,Asia"
"Japan lodges protest against South Korea, Russia over jet incident","Asia-articles-txt/articles94txt","23 Jul 2019 03:31PM","Japan,South Korea,Russia,Asia"
"Huawei head says group can sign 'no backdoor' deal with any country: Report","Asia-articles-txt/articles95txt","23 Jul 2019 03:16PM","business and finance,United States,Italy,Huawei,Business"
"Trump touches off storm in India with Kashmir mediation offer","Asia-articles-txt/articles96txt","23 Jul 2019 03:00PM","Narendra Modi,Pakistan,Donald Trump,India,Asia"
"Hong Kong police officers’ children ‘intimidated and bullied’ after personal data leaked","Asia-articles-txt/articles97txt","23 Jul 2019 02:47PM","hong kong protests,hong kong,police,crime,Asia"
"Australian clubbers busted in Bali over cocaine","Asia-articles-txt/articles98txt","23 Jul 2019 02:13PM","Australia,Bali,Indonesia,drugs,Asia"
"Survivors of deadly Laos dam collapse homeless a year on: Report","Asia-articles-txt/articles99txt","23 Jul 2019 01:39PM","Laos,Asia"
"Indonesian Supreme Court declares Jokowi among those liable for 2015 forest fires resulting in regional haze: Reports","Asia-articles-txt/articles100txt","23 Jul 2019 12:47PM","haze,fire,wildfire,Indonesia,Singapore,Malaysia,Asia"
"China notes Trump comment on Hong Kong: Foreign ministry","Asia-articles-txt/articles101txt","15 Aug 2019 09:31PM","Hong Kong,China,Donald Trump,Asia"
"Malaysia renews Lynas' rare earths plant licence for 6 months, with conditions","Asia-articles-txt/articles102txt","15 Aug 2019 07:19PM","Malaysia,Lynas,rare earths,Asia"
"South Korea's Moon offers olive branch to Japan","Asia-articles-txt/articles103txt","15 Aug 2019 07:12PM","Moon Jae-in,Japan,South Korea,Asia"
"China warns foreign forces to 'stop conniving and interfering' in Hong Kong affairs","Asia-articles-txt/articles104txt","15 Aug 2019 06:56PM","Hong Kong protests,Hong Kong,China,Asia"
"Hong Kong unveils US$2.4 billion economic support package as protests weigh","Asia-articles-txt/articles105txt","15 Aug 2019 05:52PM","Hong Kong protests,Hong Kong,Asia"
